lat,lon,area_m2,guess
35.006789000004,-114.5843260000036,139.79785547197898,Residential
35.01304115272921,-114.5851520240979,334.0574002247024,Residential
35.00937649999493,-114.58514249999841,137.3582459861535,Residential
35.00649187000607,-114.58687544392517,267.7102825413805,Residential
35.01088860646516,-114.58709178803437,343.3345060917198,Residential
35.00848049997953,-114.58715549999036,194.60364296455384,Residential
35.011120845594036,-114.58772512319763,236.75665871061256,Residential
35.009019034582685,-114.58839298845585,398.58837806382337,Residential
35.00705509211272,-114.58889811387806,203.95331320367313,Residential
35.01436523517323,-114.58985304867366,216.42587565625402,Residential
35.014626319219126,-114.59077554392131,215.5755995829981,Residential
35.0138090000275,-114.59182700001818,233.468052019607,Residential
35.00899199999761,-114.59204100000028,176.89932782200032,Residential
35.003681999999706,-114.59315150000114,139.44985435631426,Residential
35.01405949998657,-114.59438299999451,221.11261184469637,Residential
35.0163320042525,-114.59450856825923,348.07996273134944,Residential
35.012883653102755,-114.59635641914774,250.92046480207202,Residential
35.00549850001989,-114.59876950001433,302.69806427682977,Residential
35.002094499994925,-114.60018699999976,284.0454694214544,Residential
34.99445300572137,-114.60035116982435,119.37684441025789,Residential
35.00540450010137,-114.60111100006444,506.9479776626316,Residential
34.994096539120825,-114.60106918328982,169.94948568554955,Residential
35.00618199996976,-114.6023464999873,187.01227503227148,Residential
34.99634628585174,-114.60271893935482,213.6123204410028,Residential
35.011132999998075,-114.60289499999972,85.98562469465583,Residential
34.9929462356619,-114.60393503347817,297.68894604137716,Residential
34.99481416022194,-114.60425168824088,131.31082133087523,Residential
34.99577587672197,-114.60616027785272,260.2277603668648,Residential
35.00675349996431,-114.60666449999194,189.2711567798035,Residential
35.00709810802087,-114.58360063972412,483.4332696402062,Residential
35.01099650000206,-114.58411450000276,155.45560577705967,Residential
35.00520249996639,-114.58519849998464,372.658843121562,Residential
35.0077799999735,-114.58531049998719,211.67360612985001,Residential
35.00735051462316,-114.58651974635282,287.80850310419925,Residential
35.00452874268938,-114.58685683552609,252.40082130121053,Residential
35.00732318998539,-114.58815626237308,299.31978830679515,Residential
35.00523750000202,-114.58821000000324,224.95883543134045,Residential
35.00598104279828,-114.58852375370263,260.9554985460504,Residential
35.01425423436901,-114.58869698127195,217.13710473433562,Residential
35.01714477258476,-114.59037037033364,239.06541368950852,Residential
34.99570650000205,-114.59102200000184,70.21005445055941,Residential
35.01386540894418,-114.59130683311793,214.88717269351406,Residential
35.01312599999398,-114.59172349999889,246.74308897517483,Residential
35.0168463246448,-114.5928648555328,206.24518757328755,Residential
35.01275550002782,-114.59339850001857,254.39397414071254,Residential
35.01648300001851,-114.59391050001183,103.18225640078064,Residential
35.01237450000273,-114.59461600000387,247.02664556371974,Residential
35.01207606652352,-114.59460728753466,205.07992384763293,Residential
35.01238438998854,-114.59597336900356,215.11053434881518,Residential
35.01355793114223,-114.59637665492126,210.09827573448473,Residential
35.017254499987736,-114.59728099999947,688.0809397796529,Residential
35.00370157240366,-114.59908190829273,826.2851399363217,Residential
35.0088500533895,-114.60014592572503,407.05405625160665,Residential
35.01000989286882,-114.60017448005287,646.7838376156525,Residential
34.99256050002755,-114.60043200003344,268.1340021530124,Residential
34.9963985000028,-114.60091250000336,187.80078902479113,Residential
34.99314650001945,-114.60192550001301,181.59693340345984,Residential
34.99288134614439,-114.60246986726119,184.31113379723894,Residential
34.99562750001646,-114.60263900003129,258.33929661773533,Residential
34.99570866386586,-114.60374155990841,268.11253684775306,Residential
35.000073534374664,-114.60462343302115,395.3633143459996,Residential
35.00159315488057,-114.60663832233355,270.09124022184955,Residential
34.9939252380001,-114.6069301028958,284.4555678503413,Residential
35.00481349999163,-114.60703749999595,68.1344263406337,Residential
35.008221499986604,-114.58462049999379,136.46649349557103,Residential
35.006380582709156,-114.58603483523294,213.93334049446165,Residential
35.0139288975847,-114.58632464632015,225.10038159075705,Residential
35.007772409591986,-114.5865613031988,305.9304558466619,Residential
35.0098460000251,-114.58668450001596,129.4139539454776,Residential
34.9983509999859,-114.58701249999547,137.53952865581073,Residential
35.00493150004775,-114.58685950003039,245.34759705266526,Residential
35.00908870801867,-114.58794069431684,312.68150722809787,Residential
34.998100499997975,-114.5879974999995,67.81306521079412,Residential
35.006644876448355,-114.5883125291065,249.03502576040927,Residential
35.01053174971151,-114.58826192263885,211.90386169574035,Residential
34.996134000033194,-114.58849750002314,433.4737989996242,Residential
35.00037050000963,-114.58874850000811,276.76604339224264,Residential
35.01185917222569,-114.59173205283169,210.92633376847812,Residential
35.015422000009806,-114.59248949998998,227.2424508704264,Residential
34.995840442524425,-114.59298177005226,440.6683394213819,Residential
35.013401500025665,-114.59339000001724,248.06362677937872,Residential
35.01065850006856,-114.59382200004376,374.9179023441359,Residential
35.01633396109401,-114.59471413539757,372.25427140765555,Residential
35.0034850000078,-114.59694650000101,96.80909751853531,Residential
34.99593650001369,-114.60002099995194,244.7698605828499,Residential
34.99509691260064,-114.60031675478778,201.4101300186495,Residential
34.99679975137627,-114.60034373036518,337.8851759471808,Residential
34.996066532813394,-114.60061116544517,183.87036408291428,Residential
34.9968143172409,-114.6023618310343,237.55779694167404,Residential
34.99436402517578,-114.60391455157406,206.81597083295557,Residential
35.00558149997012,-114.60403749998682,388.76435135649,Residential
34.995500865488545,-114.60470179022029,199.2868506160767,Residential
35.01048225043131,-114.605632461714,751.4950917993784,Residential
35.00826400004651,-114.6058505000294,205.82838285219034,Residential
34.99332027965653,-114.60703966135479,276.7286019929881,Residential
35.00963600001416,-114.58516950001002,197.6293135072228,Residential
