lat,lon,area_m2,guess
39.4270950000066,-76.64184549999251,186.33890529193596,Residential
39.428581902216585,-76.64322367370845,269.90857906418614,Residential
39.43118602221777,-76.64317283637969,182.37129485331815,Residential
39.41919466190193,-76.6439235280779,176.98399703254452,Residential
39.422100009256525,-76.64429462031025,245.0130058115519,Residential
39.41716328592736,-76.64512013227106,212.30443910857815,Residential
39.424300500011704,-76.64540699998874,125.19385870600287,Residential
39.41699849999416,-76.64565699997534,164.52574953170665,Residential
39.41792908752366,-76.64569182732264,198.83448975864428,Residential
39.42390700001492,-76.6460074999861,186.01847570867147,Residential
39.422130000006355,-76.64628549999331,149.01133855119016,Residential
39.42485949999786,-76.64681149999966,100.42700830655099,Residential
39.423014975287764,-76.6473290417252,214.86289744917036,Residential
39.42447700001953,-76.64765599997874,163.45658582693576,Residential
39.432234352183194,-76.64751501250977,287.773958403209,Residential
39.43196000000928,-76.64868899994288,249.95144267153253,Residential
39.42715669577982,-76.64916446550023,299.8310260076963,Residential
39.41643738088219,-76.64901383873101,245.586789010284,Residential
39.429264000036824,-76.64953549997139,247.30505290713626,Residential
39.41763550002236,-76.64960799999366,147.50209689153036,Residential
39.41750216637762,-76.65011633217242,132.69725547425602,Residential
39.41663162910598,-76.6505988133815,116.92127047105845,Residential
39.433680500038164,-76.65095099997461,284.33980884185075,Residential
39.4190293076965,-76.65163963497277,192.59850370291917,Residential
39.41811426019816,-76.65220223981403,261.9673237694859,Residential
39.41701050003228,-76.65233049997322,261.7314043467077,Residential
39.418097000024105,-76.6541300000133,198.2713814898244,Residential
39.412983760537124,-76.6558918493302,508.41643498749653,Residential
39.422068643367496,-76.65673786239101,176.4604525011333,Residential
39.42224871258407,-76.65905749263187,269.4690861161195,Residential
39.42862238911338,-76.66059022458987,324.5716899218394,Residential
39.42286700009574,-76.66118600026829,835.1604226534284,Residential
39.41941854809925,-76.66205336860155,511.66743025787696,Residential
39.41915166710221,-76.66852917094188,424.02837457324586,Residential
39.421829500056475,-76.6748289999586,194.94272488700165,Residential
39.43006919811606,-76.6424026044547,209.49165754564933,Residential
39.42516540819922,-76.64732576756708,133.83345804755172,Residential
39.431462761840415,-76.64726304983793,303.740400706506,Residential
39.41557366844826,-76.64859898742151,265.8770974861157,Residential
39.42326105253452,-76.64935779446135,344.78802512721836,Residential
39.42269150004183,-76.65028750001292,178.18286297027993,Residential
39.41825100001507,-76.6504884999362,200.086036030418,Residential
39.42161292540982,-76.6509524105787,314.2712628870118,Residential
39.427194038156834,-76.65204979543475,277.4353737455483,Residential
39.42363750000699,-76.65218349996282,291.48585740629915,Residential
39.41841767960019,-76.65251109242914,267.6025146987761,Residential
39.435852999989315,-76.65405900000212,274.22244178789475,Residential
39.419957500047744,-76.65610299994562,207.17220357865978,Residential
39.42041250004042,-76.65633049996988,179.6765186127002,Residential
39.428637446738605,-76.65703517975783,250.2518902870397,Residential
39.42812390739778,-76.65721067379162,229.53958980524314,Residential
39.42658767304873,-76.65795404663231,498.61973710094816,Residential
39.419804802975456,-76.65824481098896,182.40508043058787,Residential
39.42137141923815,-76.65867267403416,216.3028371458125,Residential
39.426453021992835,-76.65918754827484,302.21538752697745,Residential
39.43413040673195,-76.66020109419723,557.2475234340687,Residential
39.42265100016734,-76.66172399983529,818.9723922863072,Residential
39.424567520366615,-76.67114092902371,282.16238133748203,Residential
39.42494108857871,-76.67302046411393,492.53514939727444,Residential
39.42724974058431,-76.64351976165841,233.68331156735326,Residential
39.421993042657775,-76.64368618079104,157.2771296776999,Residential
39.41993950001234,-76.64372199998529,189.79957529905525,Residential
39.421306285594504,-76.6440074281905,247.3388324594519,Residential
39.42141774857352,-76.64428832845394,243.81316870990815,Residential
39.42396450003363,-76.64688549997432,182.42987726648002,Residential
39.42277799997352,-76.64733850001255,240.14121353169494,Residential
39.432216326513554,-76.64815639894708,267.3248577705943,Residential
39.428908630295425,-76.64866062915978,324.5228441802773,Residential
39.417175322293986,-76.6487241349101,169.64094482997064,Residential
39.427670000003786,-76.64968249999183,335.0259096307069,Residential
39.41910703955735,-76.65040818833481,219.5257980343078,Residential
39.42296900003123,-76.6506895000171,189.81062238680803,Residential
39.428636000002754,-76.65070550003074,289.9066950308567,Residential
39.42422150001317,-76.65088949997687,190.22461717014647,Residential
39.41863550001961,-76.65199299998385,191.07751589243713,Residential
39.42324882330572,-76.65191194495473,358.2505744420014,Residential
39.42361780229355,-76.65347791564436,271.6188664874609,Residential
39.41777655965622,-76.65450318579101,287.7389202835007,Residential
39.417351215478796,-76.65469192144059,254.77000146080775,Residential
39.420333028803896,-76.65502074136636,207.3504831076098,Residential
39.422024215635375,-76.65869205719011,326.1342775691703,Residential
39.42844620390981,-76.66007772282647,438.19543916217236,Residential
39.42334846912932,-76.6626565523716,534.6358499220094,Residential
39.435396008479806,-76.66325366401553,494.25353294423485,Residential
39.42310649998931,-76.6415819999794,130.70146886225893,Residential
39.42665024114792,-76.6418630440969,172.5984827095421,Residential
39.42176740189021,-76.64207455282657,217.35523603775812,Residential
39.42883110944904,-76.64334312828987,259.2825082072874,Residential
39.427030149936456,-76.64350024532986,217.31253787331082,Residential
39.42177749998378,-76.6438865000069,196.82167069989111,Residential
39.42854149981547,-76.64500500010556,505.8758377949132,Residential
39.42385400001272,-76.64544299998603,133.69725741624586,Residential
39.428569499929445,-76.64549050003788,335.9000859614286,Residential
39.42765150050779,-76.64583750000556,832.8014181204837,Residential
39.416853892907,-76.64614323918784,191.59952508803724,Residential
39.41791749999792,-76.64641749996716,163.96786120780627,Residential
