lat,lon,area_m2,guess
38.60960049998564,-97.95329000000046,164.75569658586778,Residential
38.609743887459445,-97.95473717230566,503.9142473422505,Residential
38.608595000009316,-97.95244899999962,79.81825620818688,Residential
38.610006883414734,-97.95297124954467,113.17350192756439,Residential
38.6097824999711,-97.953456500001,82.3003327766836,Residential
38.61021877823102,-97.9538577296701,146.4138746501349,Residential
38.61600258286568,-97.92722374573275,111.20872381053516,Residential
38.609617999971974,-97.95369250000097,110.06255945268688,Residential
38.610011352484314,-97.95284324464055,131.14191988655065,Residential
38.61019404769243,-97.95327262465808,128.82727237553658,Residential
38.60999299999761,-97.95358650000007,48.99160049735245,Residential
38.623823720375064,-97.93469721013071,202.15737489400044,Residential
38.61018999998066,-97.95300050000064,154.97541336525506,Residential
38.616873223506026,-97.92732004195058,216.26960518773942,Residential
38.609599999991765,-97.95343900000026,149.35272232684804,Residential
38.62254149681357,-97.93895600124738,135.69476602138022,Residential
38.62197750000912,-97.93930349999962,68.78024238729282,Residential
38.610015501897124,-97.95343885135688,239.82684041345374,Residential
38.60902810981652,-97.95394027135207,392.88492766789943,Residential
38.60999415585445,-97.95456324673985,108.61249880568312,Residential
38.60985698476925,-97.95515612525507,193.55098424685562,Residential
38.61042399997274,-97.95280750000094,108.76654112039577,Residential
38.6099584999959,-97.95470750000013,47.319896655602975,Residential
38.609984104591184,-97.95418930197724,369.770573968255,Residential
38.61030375843129,-97.9545248797794,722.7096948023676,Residential
38.608688742066704,-97.95714689328369,214.02042056769028,Residential
38.61042349998559,-97.9532095000005,60.615885739625064,Residential
38.610454514864244,-97.95350519446617,130.34388677405494,Residential
38.61016680786092,-97.95509734151308,82.67669445872413,Residential
38.6164974999857,-97.92664900000041,334.0442922678141,Residential
38.609751015501914,-97.95287015661182,167.6929415936109,Residential
38.622432499995426,-97.93933350000015,79.04026455110628,Residential
38.6161540000091,-97.92747450000051,54.98826787521081,Residential
38.60959349999438,-97.95315300000014,171.6744952023012,Residential
38.60972682920441,-97.95441275109229,319.88141314210446,Residential
38.61654350000524,-97.92786149999975,130.87541611356613,Residential
38.60958687697641,-97.95285371946422,96.35071161723221,Residential
38.61016660740225,-97.95285301116866,131.32039719166843,Residential
38.61000877468652,-97.95324658682834,88.07858475853034,Residential
38.610300214669614,-97.95415610371876,423.9058605233135,Residential
38.60926800000943,-97.95306749999962,86.52371630534824,Residential
38.60978149997697,-97.95330800000077,137.1189158140059,Residential
38.61028949999107,-97.95480300000025,183.8481178595518,Residential
38.60801166875899,-97.95309774890436,360.1560056988063,Residential
38.60835850003499,-97.95171299999865,138.2619422682211,Residential
38.610205999975605,-97.95342300000084,120.43975617597347,Residential
38.609800000044814,-97.9536514999982,406.62168702312795,Residential
38.60958261602706,-97.95299484642254,135.9017505367802,Residential
38.610450638993036,-97.95334455016994,95.92438280804986,Residential
38.60981049999952,-97.95383200000002,45.33908142805133,Residential
38.6101936199627,-97.95313374763607,176.132563561531,Residential
38.61045949997579,-97.95377150000083,99.8668471365041,Residential
38.61405061882476,-97.94308603972921,127.99964026152301,Residential
38.60975733223148,-97.95302979271536,123.09785602883443,Residential
38.60960649998394,-97.95356500000052,140.07613633698725,Residential
38.61632191193409,-97.92714843389463,163.5827178980657,Residential
38.61002199999198,-97.95368450000025,133.9296423644364,Residential
38.61661650000428,-97.9275904999998,135.86102492912653,Residential
38.61417850001424,-97.94248649999945,40.920793301839524,Residential
38.61002429626785,-97.95311640249484,150.395491096162,Residential
38.61021522967495,-97.95361498029274,366.68711075793834,Residential
38.61003049998556,-97.95381600000047,131.70712256559992,Residential
38.60852169943336,-97.95174065517446,149.39368389018045,Residential
38.62219649998118,-97.93932550000062,184.50517354882805,Residential
38.61046231673812,-97.95363650737595,165.03394801649478,Residential
38.615813499972184,-97.92844500000095,226.09927581119763,Residential
38.61645950000285,-97.92738249999987,50.52406576575747,Residential
38.60973018369091,-97.9541348797349,342.1499351100224,Residential
38.610424499986806,-97.95295100000043,165.5848730291291,Residential
38.610021744406794,-97.95516482150238,437.5611416229738,Residential
38.609785927522836,-97.9531693550803,160.02039244779945,Residential
38.610291500068456,-97.95516899999409,276.50651725541644,Residential
38.61043190061562,-97.95309023848976,147.80496716783904,Residential
38.610001720111455,-97.95655558422463,69.62209656808228,Residential
